Town,Year,Variable,Value
Stratford,2006,Major Employer 5,United Parcel Services
Stratford,2006,Major Employer 6,Stop & Shop
Stratford,2006,Major Employer 7,Lord Chaberlain
Stratford,2006,Major Employer 8,Dianon Systems Inc.
Stratford,2006,Major Employer 9,AT&T SBC (SNET)
Stratford,2006,Major Employer 10,Emsar
Suffield,2006,Major Employer 1,State of Connecticut
Suffield,2006,Major Employer 2,H.P. Hood Inc.
Suffield,2006,Major Employer 3,The Suffield House
Suffield,2006,Major Employer 4,C&S Wholesale Grocers
Suffield,2006,Major Employer 5,Suffield Academy
Suffield,2006,Major Employer 6,Teleflex Fluid Systems
Suffield,2006,Major Employer 7,Baker Nurseries
Suffield,2006,Major Employer 8,Suffield by the River
Suffield,2006,Major Employer 9,Stevenson Lumber & Millwork
Suffield,2006,Major Employer 10,"Fleming Transportation, Inc."
Thomaston,2006,Major Employer 1,Rexam Dispensing System
Thomaston,2006,Major Employer 2,"Whyco Technologies, Inc."
Thomaston,2006,Major Employer 3,Stewart EFI
Thomaston,2006,Major Employer 4,Summit Corporation of America
Thomaston,2006,Major Employer 5,"Stevens Company, Inc."
Thomaston,2006,Major Employer 6,Quality Rolling and Deburring Co. Inc.
Thomaston,2006,Major Employer 7,C P I Corporation
Thomaston,2006,Major Employer 8,Cametrics Inc.
Thomaston,2006,Major Employer 9,Consolidated Precast Inc.
Thomaston,2006,Major Employer 10,
Thompson,2006,Major Employer 1,Town of Thompson-Inc. Board of Ed.
Thompson,2006,Major Employer 2,Norampac Thompson Inc.
Thompson,2006,Major Employer 3,Numa Tool Co
Thompson,2006,Major Employer 4,Drake Petroleum/Convenient Graphics
Thompson,2006,Major Employer 5,Superior Bakery Incorporated
Thompson,2006,Major Employer 6,Marianapolis Preparatory Schl
Thompson,2006,Major Employer 7,Tilcon Connecticut Inc
Thompson,2006,Major Employer 8,Liberty Glass-Metal Industries
Thompson,2006,Major Employer 9,Ivanhoe Tool & Die Co.
Thompson,2006,Major Employer 10,
Tolland,2006,Major Employer 1,Gerber Scientific
Tolland,2006,Major Employer 2,Standard Register
Tolland,2006,Major Employer 3,Connecticut Light and Power Co.
Tolland,2006,Major Employer 4,Nerac
Tolland,2006,Major Employer 5,C & C
Tolland,2006,Major Employer 6,Dairy Farms
Tolland,2006,Major Employer 7,Woodlake at Tolland
Tolland,2006,Major Employer 8,Dunkin Donuts
Tolland,2006,Major Employer 9,Gardner and Peterson
Tolland,2006,Major Employer 10,"Soldream, Inc."
Torrington,2006,Major Employer 1,The Torrington Company
Torrington,2006,Major Employer 2,The Charlotte Hungerford Hospital
Torrington,2006,Major Employer 3,O&G Industries
Torrington,2006,Major Employer 4,Torrington Board of Education
Torrington,2006,Major Employer 5,F.M. precision Golf Corporation
Torrington,2006,Major Employer 6,Region 1-CT Dept. of Mental Retardation
Torrington,2006,Major Employer 7,Rexam Cosmetic Packaging Inc.
Torrington,2006,Major Employer 8,Region 1-CT Dept. of Mental Retardation
Torrington,2006,Major Employer 9,"Community Systems, Inc."
Torrington,2006,Major Employer 10,Commercial Sewing
Trumbull,2006,Major Employer 1,Cendant Corporation
Trumbull,2006,Major Employer 2,Oxford Health Plans Inc.
Trumbull,2006,Major Employer 3,JC Penney
Trumbull,2006,Major Employer 4,Van Den Bergh Foods Co.
Trumbull,2006,Major Employer 5,"Macy's East, Inc."
Trumbull,2006,Major Employer 6,Marriot of Trumbull
Trumbull,2006,Major Employer 7,"ADT Security Systems, Inc."
Trumbull,2006,Major Employer 8,Cheesebrough Pond's U.S.A. Co.
Trumbull,2006,Major Employer 9,Pilot Pen
Trumbull,2006,Major Employer 10,Athena Communities
Union,2006,Major Employer 1,"Bradway Farms, Inc."
Union,2006,Major Employer 2,Traveler's Restaurant
Union,2006,Major Employer 3,Chappell Tire Service
Union,2006,Major Employer 4,Select Seeds
Union,2006,Major Employer 5,Northeast Realty
Union,2006,Major Employer 6,Town of Union
Union,2006,Major Employer 7,
Union,2006,Major Employer 8,
Union,2006,Major Employer 9,
Union,2006,Major Employer 10,
Vernon,2006,Major Employer 1,Town of Vernon
Vernon,2006,Major Employer 2,Rockville General Hospital
Vernon,2006,Major Employer 3,New England Mechanical Services
Vernon,2006,Major Employer 4,Visiting Nurse & Health Services
Vernon,2006,Major Employer 5,Stop & Shop
Vernon,2006,Major Employer 6,Amerbelle
Vernon,2006,Major Employer 7,Fox Hill Nursing & Rehabilitation Center
Vernon,2006,Major Employer 8,State of Connecticut
Vernon,2006,Major Employer 9,Rein's New York Style Deli
Vernon,2006,Major Employer 10,Vernon Manor
Voluntown,2006,Major Employer 1,Hartikka Tree Farms
Voluntown,2006,Major Employer 2,State of Connecticut
Voluntown,2006,Major Employer 3,Voluntown Post Office
Voluntown,2006,Major Employer 4,Claudia's Restaurant
Voluntown,2006,Major Employer 5,Bronson's Pools & Spas/Hardware
Voluntown,2006,Major Employer 6,Town Pizza
Voluntown,2006,Major Employer 7,Town of Voluntown
Voluntown,2006,Major Employer 8,Aldin Associates
Voluntown,2006,Major Employer 9,"Spafas, Inc."
Voluntown,2006,Major Employer 10,Voluntown Board of Education - Elementary School
Wallingford,2006,Major Employer 1,Town of Wallingford
Wallingford,2006,Major Employer 2,Bristol-Myers Squibb Company
Wallingford,2006,Major Employer 3,"U.S. Postal Service, Processing & Distribution Center"
Wallingford,2006,Major Employer 4,Verizon Wireless
Wallingford,2006,Major Employer 5,"Quest Diagonostics, Inc."
Wallingford,2006,Major Employer 6,TheromoSpas
Wallingford,2006,Major Employer 7,WalMart
Wallingford,2006,Major Employer 8,Masonic Health Center
Wallingford,2006,Major Employer 9,Cytec Industries Inc.
Wallingford,2006,Major Employer 10,Gaylord Hospital
Warren,2006,Major Employer 1,Hopkins Inn
Warren,2006,Major Employer 2,Boulders Inn
Warren,2006,Major Employer 3,Hopkins Winery
Warren,2006,Major Employer 4,Town of Warren
Warren,2006,Major Employer 5,Regional School District #6
Warren,2006,Major Employer 6,
Warren,2006,Major Employer 7,
Warren,2006,Major Employer 8,
Warren,2006,Major Employer 9,
Warren,2006,Major Employer 10,
Washington,2006,Major Employer 1,Devereux Glenholme School
Washington,2006,Major Employer 2,Rumsey Hall School
Washington,2006,Major Employer 3,Shepaug Middle & High School
Washington,2006,Major Employer 4,Washington Montessori School
Washington,2006,Major Employer 5,Gunnery The
Washington,2006,Major Employer 6,Town of Washington
Washington,2006,Major Employer 7,Washington Primary School
Washington,2006,Major Employer 8,Mayflower Inn Inc
Washington,2006,Major Employer 9,GW Tavern
Washington,2006,Major Employer 10,
Waterbury,2006,Major Employer 1,Webster Bank - Corporate headquarters
Waterbury,2006,Major Employer 2,St. Mary's Hospital
Waterbury,2006,Major Employer 3,The Waterbury Hospital
Waterbury,2006,Major Employer 4,Webster Bank - regional branch
Waterbury,2006,Major Employer 5,Connecticut Light & Power
Waterbury,2006,Major Employer 6,VNA Health Care
Waterbury,2006,Major Employer 7,Alleghany Ludlum Corporation
Waterbury,2006,Major Employer 8,"New Opprotunities for Waterbury, Inc."
Waterbury,2006,Major Employer 9,Filenes
Waterbury,2006,Major Employer 10,"OptiCare Health Systems, Inc."
Waterford,2006,Major Employer 1,Dominion Nuclear
Waterford,2006,Major Employer 2,Stop and Shop # 667
Waterford,2006,Major Employer 3,Sonalysts
Waterford,2006,Major Employer 4,Waterford School District & Town of Waterford
Waterford,2006,Major Employer 5,Bayview Health Care Center
Waterford,2006,Major Employer 6,Home Depot International
Waterford,2006,Major Employer 7,Macys East Inc
Waterford,2006,Major Employer 8,JC Penney Store 2138-6
Waterford,2006,Major Employer 9,AT&T
Waterford,2006,Major Employer 10,Lowes Home Improvement
Watertown,2006,Major Employer 1,The Siemon Company
Watertown,2006,Major Employer 2,United Parcel Service
Watertown,2006,Major Employer 3,The Torrington Company
Watertown,2006,Major Employer 4,"Bristol Babock, Inc."
Watertown,2006,Major Employer 5,Eyelematic Manufacturing Company
Watertown,2006,Major Employer 6,Winchester Electronics
Watertown,2006,Major Employer 7,Super Stop & Shop
Watertown,2006,Major Employer 8,"Henlopen Manufacturing Compan, Inc."
Watertown,2006,Major Employer 9,Coats North America
Watertown,2006,Major Employer 10,"Engineered Sinterings & Plastics, Inc."
West Hartford,2006,Major Employer 1,University of Hartford
West Hartford,2006,Major Employer 2,Wiremold Co.
West Hartford,2006,Major Employer 3,Hebrew Home and Hospital
West Hartford,2006,Major Employer 4,Colt's Manufacturing
West Hartford,2006,Major Employer 5,Filene's
West Hartford,2006,Major Employer 6,St. Joseph's College
West Hartford,2006,Major Employer 7,Goodrich Corp.
West Hartford,2006,Major Employer 8,St. Mary's Home
West Hartford,2006,Major Employer 9,Holo-Krome Company
West Hartford,2006,Major Employer 10,University of Connecticut
West Haven,2006,Major Employer 1,Bayer Pharmaceuticals
West Haven,2006,Major Employer 2,Veterans Administration of Connecticut / Health Care Systems
West Haven,2006,Major Employer 3,City of West Haven
West Haven,2006,Major Employer 4,University of New Haven
West Haven,2006,Major Employer 5,United Technology
West Haven,2006,Major Employer 6,"Enthone, Inc."
West Haven,2006,Major Employer 7,"Matlaw's Food Products, Inc."
West Haven,2006,Major Employer 8,Inter-East Tire
West Haven,2006,Major Employer 9,Bilco Company
West Haven,2006,Major Employer 10,Cover-it
Westbrook,2006,Major Employer 1,The Lee Company
Westbrook,2006,Major Employer 2,IPC Communications Inc
Westbrook,2006,Major Employer 3,Tanger Outlet Center
Westbrook,2006,Major Employer 4,Valley-Shore YMCA School Age
Westbrook,2006,Major Employer 5,Waters Edge Inn & Resort
Westbrook,2006,Major Employer 6,Daisy Ingraham Primary School
Westbrook,2006,Major Employer 7,Town of Westbrook
Westbrook,2006,Major Employer 8,Pilots Point Marina Inc
Westbrook,2006,Major Employer 9,Bill's Restaurants
Westbrook,2006,Major Employer 10,Lenny & Joe's Fish Tale
Weston,2006,Major Employer 1,Town of Weston
Weston,2006,Major Employer 2,Weston Board of Education
Weston,2006,Major Employer 3,Peters Weston Market
Weston,2006,Major Employer 4,Norfield Childrens Center
Weston,2006,Major Employer 5,Cobbs Mill Inn Incorporated
Weston,2006,Major Employer 6,Weston Field Club Incorporated
Weston,2006,Major Employer 7,Weston Racquet Club Incorporated
Weston,2006,Major Employer 8,Weston Arborists Incorporated
Weston,2006,Major Employer 9,Aspetuck Valley Country Club CLB Incorporated
Weston,2006,Major Employer 10,
Westport,2006,Major Employer 1,Save the Children Federation
Westport,2006,Major Employer 2,"TBM Holding, Inc."
Westport,2006,Major Employer 3,Lifecare Inc.
Westport,2006,Major Employer 4,Hall-Brooke Behavioral Health
Westport,2006,Major Employer 5,Allied Domecq North America
Westport,2006,Major Employer 6,Shoreline Life Care LLC
Westport,2006,Major Employer 7,Bridgewater Assoc.
Westport,2006,Major Employer 8,CLASP Homes
Westport,2006,Major Employer 9,Platex Products
Westport,2006,Major Employer 10,Greenwood Publishing Group
Wethersfield,2006,Major Employer 1,Connecticut Department of Labor
Wethersfield,2006,Major Employer 2,Wethersfield Health Care Center
Wethersfield,2006,Major Employer 3,Connecticut Department of Corrections
Wethersfield,2006,Major Employer 4,Connecticut Department of Motor Vehicles
Wethersfield,2006,Major Employer 5,Wethersfield Board of Education
Wethersfield,2006,Major Employer 6,Town of Wethersfield
Wethersfield,2006,Major Employer 7,Northeast Utilities
Wethersfield,2006,Major Employer 8,Computer Sciences Corporation
Wethersfield,2006,Major Employer 9,Stop & Shop
Wethersfield,2006,Major Employer 10,Prime Healthcare PC
Willington,2006,Major Employer 1,Fed Ex Ground
Willington,2006,Major Employer 2,Travel Centers of America
Willington,2006,Major Employer 3,Town of Willington
Willington,2006,Major Employer 4,Willington Pizza
Willington,2006,Major Employer 5,State of Connecticut-DOT
Willington,2006,Major Employer 6,"Cable Technology, Inc."
Willington,2006,Major Employer 7,Becker Construction Company
Willington,2006,Major Employer 8,Econo Lodge
Willington,2006,Major Employer 9,Northeast Specialty Steel
Willington,2006,Major Employer 10,
Wilton,2006,Major Employer 1,ASML Lithography
Wilton,2006,Major Employer 2,"Deloitte & Touche, LLP"
Wilton,2006,Major Employer 3,Claritas
Wilton,2006,Major Employer 4,Louis Dreyfus Corporation
Wilton,2006,Major Employer 5,Nursing & Home Care Inc.
Wilton,2006,Major Employer 6,Ryan Partnership
Wilton,2006,Major Employer 7,The Commonfund Group
Wilton,2006,Major Employer 8,News America Marketing
Wilton,2006,Major Employer 9,Wilton Meadows Health Care Inc.
Wilton,2006,Major Employer 10,TLP Inc.
Winchester,2006,Major Employer 1,Sterling Engineering Corp
Winchester,2006,Major Employer 2,Northwestern Connecticut Community Technical College
Winchester,2006,Major Employer 3,Northwest Community Bank
Winchester,2006,Major Employer 4,Town of Winchester
Winchester,2006,Major Employer 5,Winsted Precision Ball Co
Winchester,2006,Major Employer 6,Foothills Visiting Nurse
Winchester,2006,Major Employer 7,Sterling Sintered
Winchester,2006,Major Employer 8,SCASCO
Winchester,2006,Major Employer 9,CADCO
Winchester,2006,Major Employer 10,East Coast Lighting
Windham,2006,Major Employer 1,Town of Windham
Windham,2006,Major Employer 2,Eastern Conncecticut State University
Windham,2006,Major Employer 3,Windham Community Memorial Hospital
Windham,2006,Major Employer 4,Wal-Mart Stores Inc.
Windham,2006,Major Employer 5,BICC General Cable Corp.
Windham,2006,Major Employer 6,United Abrasives Inc.
Windham,2006,Major Employer 7,"Stop and Shop Companies, Inc."
Windham,2006,Major Employer 8,Keeper Corporation
Windham,2006,Major Employer 9,Willimantic Waste Paper Co.
Windham,2006,Major Employer 10,Shaws
Windsor,2006,Major Employer 1,"Alstom, Inc."
Windsor,2006,Major Employer 2,Aetna
Windsor,2006,Major Employer 3,UTC/Pratt & Whitney
Windsor,2006,Major Employer 4,Town of Windsor
Windsor,2006,Major Employer 5,"Stanadyne, Inc."
Windsor,2006,Major Employer 6,Hartford Life
Windsor,2006,Major Employer 7,American Airlines
Windsor,2006,Major Employer 8,"Konica, Inc."
Windsor,2006,Major Employer 9,"ADVO, Inc."
Windsor,2006,Major Employer 10,Fleet Boston Financial
Windsor Locks,2006,Major Employer 1,Bradley International Airport
Windsor Locks,2006,Major Employer 2,Hamilton Sunstrand
Windsor Locks,2006,Major Employer 3,C&S Wholesale Grocers
Windsor Locks,2006,Major Employer 4,Ahlstrom
Windsor Locks,2006,Major Employer 5,Bombardier
Windsor Locks,2006,Major Employer 6,Federal Express
Windsor Locks,2006,Major Employer 7,Windsor Marketing Group
Windsor Locks,2006,Major Employer 8,American Honda
Windsor Locks,2006,Major Employer 9,Federal Reserve Bank of Boston
Windsor Locks,2006,Major Employer 10,UPS
Wolcott,2006,Major Employer 1,"Devon Precision Industries, Inc."
Wolcott,2006,Major Employer 2,Wolcott View Manor Inc.
Wolcott,2006,Major Employer 3,B&C Medical Services
Wolcott,2006,Major Employer 4,Highland Manufacturing
Wolcott,2006,Major Employer 5,Anstro Manufacturing
Wolcott,2006,Major Employer 6,Town of Wolcott
Wolcott,2006,Major Employer 7,Wolcott High School
Wolcott,2006,Major Employer 8,Tyrrell Middle School
Wolcott,2006,Major Employer 9,Wakelee Elementary School
Wolcott,2006,Major Employer 10,Mark Eyelet
Woodbridge,2006,Major Employer 1,Town of Woodbridge/Board of Education
Woodbridge,2006,Major Employer 2,Amity Regional School System
Woodbridge,2006,Major Employer 3,Harborside Health Care-Madison House
Woodbridge,2006,Major Employer 4,Brighton Gardens of Woodbridge
Woodbridge,2006,Major Employer 5,Crest Lincoln Mercury/Dodge
Woodbridge,2006,Major Employer 6,Laurel Gardens of Woodbridge
Woodbridge,2006,Major Employer 7,The Gale Group
Woodbridge,2006,Major Employer 8,"Bailey, Moore, Glazer, Schaefer, & Proto"
Woodbridge,2006,Major Employer 9,Plastics Forming
Woodbridge,2006,Major Employer 10,Lanxess/Bayer Corporation
Woodbury,2006,Major Employer 1,Nonnewaug Rgional Schl Dst 14
Woodbury,2006,Major Employer 2,Town of Woodbury
Woodbury,2006,Major Employer 3,West Chevrolet
Woodbury,2006,Major Employer 4,Carmen Anthony Fishhouse Llc
Woodbury,2006,Major Employer 5,The Woodbury Telephone Co
Woodbury,2006,Major Employer 6,Labonnes Epicure Market
Woodbury,2006,Major Employer 7,The Curtis House
Woodbury,2006,Major Employer 8,New Mrning Ntral Organic Foods
Woodbury,2006,Major Employer 9,Carole Peck's Good News Café
Woodbury,2006,Major Employer 10,The Charcoal Chef
Woodstock,2006,Major Employer 1,Crabtree & Evelyn Ltd
Woodstock,2006,Major Employer 2,Town of Woodstock-Inc. Board of Ed.
Woodstock,2006,Major Employer 3,Linemaster Switch Corporation
Woodstock,2006,Major Employer 4,Woodstock Academy
Woodstock,2006,Major Employer 5,Hyde School-South Woodstock
Woodstock,2006,Major Employer 6,Rogers Corporation - Poron Division
Woodstock,2006,Major Employer 7,The Inn at Woodstock Hill
Woodstock,2006,Major Employer 8,Brunarhans Design
Woodstock,2006,Major Employer 9,
Woodstock,2006,Major Employer 10,
Andover,2012,Major Employer 1,Town of Andover
Andover,2012,Major Employer 2,"Scott Electrokrafts, Inc."
Andover,2012,Major Employer 3,MTM Corp.
Andover,2012,Major Employer 4,Protech
Andover,2012,Major Employer 5,SDR Industries
Andover,2012,Major Employer 6,Andover Pizza
Andover,2012,Major Employer 7,Andover Package Store
Andover,2012,Major Employer 8,Lunt's Market
Andover,2012,Major Employer 9,Image Beauty Salon
Andover,2012,Major Employer 10,Bagels and Buns
Ansonia,2012,Major Employer 1,Ansonia Copper & Brass
Ansonia,2012,Major Employer 2,Big Y Supermarket
Ansonia,2012,Major Employer 3,Birmingham Group Health Services
Ansonia,2012,Major Employer 4,Farrell Corporation
Ansonia,2012,Major Employer 5,Hilltop Health Center
Ansonia,2012,Major Employer 6,HMP Industries
Ansonia,2012,Major Employer 7,Stop & Shop Supermarkets
Ansonia,2012,Major Employer 8,Complete Construction Inc.
Ansonia,2012,Major Employer 9,Duchess Drive-In
Ansonia,2012,Major Employer 10,Healy Ford Lincoln Mercury
Ashford,2012,Major Employer 1,Ashford Board of Education
Ashford,2012,Major Employer 2,Town of Ashford
Ashford,2012,Major Employer 3,Midway Restaurant
Ashford,2012,Major Employer 4,Extra Mart / Dunkin Donuts
Ashford,2012,Major Employer 5,North Veterinary Clinic
Ashford,2012,Major Employer 6,Whitehouse Auto Sales
Ashford,2012,Major Employer 7,Krukoff Excavators
Ashford,2012,Major Employer 8,Box Office Video
Ashford,2012,Major Employer 9,
Ashford,2012,Major Employer 10,
Avon,2012,Major Employer 1,Town of Avon
Avon,2012,Major Employer 2,COCC
Avon,2012,Major Employer 3,Wal-Mart
Avon,2012,Major Employer 4,Big Y Supermarket
Avon,2012,Major Employer 5,"Avon Health Center, Inc."
Avon,2012,Major Employer 6,Reflexite
Avon,2012,Major Employer 7,OFS Fitel
Avon,2012,Major Employer 8,Proline Printing
Avon,2012,Major Employer 9,Avon Old Farms Hotel
Avon,2012,Major Employer 10,The Hartford
Barkhamsted,2012,Major Employer 1,Sterling Engineering Corp
Barkhamsted,2012,Major Employer 2,Lightstrant Inc
Barkhamsted,2012,Major Employer 3,Tru-Hitch
Barkhamsted,2012,Major Employer 4,Lombard Ford
Barkhamsted,2012,Major Employer 5,Metropolitan District
Barkhamsted,2012,Major Employer 6,Century Woodworking LLC
Barkhamsted,2012,Major Employer 7,Winsted Hospital for Animals
Barkhamsted,2012,Major Employer 8,Goulet Printery Inc
Barkhamsted,2012,Major Employer 9,Tractor Supply Co
Barkhamsted,2012,Major Employer 10,Duralite
Beacon Falls,2012,Major Employer 1,Regional School District No 16
Beacon Falls,2012,Major Employer 2,Baker's Choice
Beacon Falls,2012,Major Employer 3,Town of Beacon Falls
Beacon Falls,2012,Major Employer 4,Ideal Manufacturing
Beacon Falls,2012,Major Employer 5,Franzus Company (Conair)
Beacon Falls,2012,Major Employer 6,Knapp Container Corp
Beacon Falls,2012,Major Employer 7,Automated Mailmen Inc
Beacon Falls,2012,Major Employer 8,
Beacon Falls,2012,Major Employer 9,
Beacon Falls,2012,Major Employer 10,
Berlin,2012,Major Employer 1,Northeast Utilities
Berlin,2012,Major Employer 2,Town of Berlin
Berlin,2012,Major Employer 3,Corbin Russwin Inc.
Berlin,2012,Major Employer 4,RMS
Berlin,2012,Major Employer 5,Comcast
Berlin,2012,Major Employer 6,Sam's Club Store 6636
Berlin,2012,Major Employer 7,Reliance Automotive
Berlin,2012,Major Employer 8,Parker Skinner Valve
Berlin,2012,Major Employer 9,TOMZ Corporation
Berlin,2012,Major Employer 10,
Bethany,2012,Major Employer 1,Laticrete International Inc.
Bethany,2012,Major Employer 2,Sorensen Transportation
Bethany,2012,Major Employer 3,Mason Inc.
Bethany,2012,Major Employer 4,Uniroyal Chemical
Bethany,2012,Major Employer 5,Keystone Kennels
Bethany,2012,Major Employer 6,Connecticut Water Company
Bethany,2012,Major Employer 7,MESA Excavation & Paving
Bethany,2012,Major Employer 8,Bethany Public Schools
Bethany,2012,Major Employer 9,Amity Regional School District
Bethany,2012,Major Employer 10,B & B Transportation
Bethel,2012,Major Employer 1,Duracell Inc
Bethel,2012,Major Employer 2,Eaton Corporation
Bethel,2012,Major Employer 3,Consolidated Controls
Bethel,2012,Major Employer 4,Bethel Food Market Inc
Bethel,2012,Major Employer 5,Cannondale Corporation
Bethel,2012,Major Employer 6,Bethel Health Care Center
Bethel,2012,Major Employer 7,Kanthal Corporation
Bethel,2012,Major Employer 8,Northern Business Center
Bethel,2012,Major Employer 9,Contest Partner New Letter
Bethel,2012,Major Employer 10,Worth Construction Inc
Bethlehem,2012,Major Employer 1,Wellspring Foundation Inc.
Bethlehem,2012,Major Employer 2,Painted Pony Restaurant
Bethlehem,2012,Major Employer 3,Regina Laudis Abbey
Bethlehem,2012,Major Employer 4,Connecticut Wells Inc./SDS Water Service
Bethlehem,2012,Major Employer 5,Woodhall School Inc.
Bethlehem,2012,Major Employer 6,Bethlehem Post Office
Bethlehem,2012,Major Employer 7,Bethlehem Elementary School
Bethlehem,2012,Major Employer 8,Town of Bethlehem
Bethlehem,2012,Major Employer 9,Russell Lumber Company
Bethlehem,2012,Major Employer 10,American Asphalt Inc.
Bloomfield,2012,Major Employer 1,CIGNA
Bloomfield,2012,Major Employer 2,Metropolitan Life Insurance Co
Bloomfield,2012,Major Employer 3,Kaman Corp
Bloomfield,2012,Major Employer 4,Town of Bloomfield
Bloomfield,2012,Major Employer 5,Homegoods Distribution Center
Bloomfield,2012,Major Employer 6,Jacobs Vehicle Systems
Bloomfield,2012,Major Employer 7,Seabury
Bloomfield,2012,Major Employer 8,Duncaster
Bloomfield,2012,Major Employer 9,Pepperidge Farms
Bloomfield,2012,Major Employer 10,Coherent Deos
Bolton,2012,Major Employer 1,"Simoniz, USA"
Bolton,2012,Major Employer 2,Munson's Candies
Bolton,2012,Major Employer 3,Bolton Veterinary Hospital
Bolton,2012,Major Employer 4,Comcast
Bolton,2012,Major Employer 5,Carlyle Johnson Machine Co.
Bolton,2012,Major Employer 6,
Bolton,2012,Major Employer 7,
Bolton,2012,Major Employer 8,
Bolton,2012,Major Employer 9,
Bolton,2012,Major Employer 10,
Bozrah,2012,Major Employer 1,Land O' Lakes
Bozrah,2012,Major Employer 2,United Parcel Service
Bozrah,2012,Major Employer 3,Fields Memorial School
Bozrah,2012,Major Employer 4,Sterling Moving & Storage
Bozrah,2012,Major Employer 5,Gilman Gear
Bozrah,2012,Major Employer 6,TVCCA Commissary
Bozrah,2012,Major Employer 7,Gilman Brothers
Bozrah,2012,Major Employer 8,Gilman Corp.
Bozrah,2012,Major Employer 9,Norwich Express
Bozrah,2012,Major Employer 10,Fitchville Homes
Branford,2012,Major Employer 1,Dana Engine Systems
Branford,2012,Major Employer 2,Seton Name Plate
Branford,2012,Major Employer 3,CT Hospice Institute
Branford,2012,Major Employer 4,Lester Telemarketing
Branford,2012,Major Employer 5,Turbine Components
Branford,2012,Major Employer 6,Vine Blakeslee Prestress Inc.
Branford,2012,Major Employer 7,Diagnostic Medical Laboratories
Branford,2012,Major Employer 8,Town of Branford
Branford,2012,Major Employer 9,Neurogen Corporation
Branford,2012,Major Employer 10,Curagen Corporation
Bridgeport,2012,Major Employer 1,Trefz Corporation
Bridgeport,2012,Major Employer 2,Bridgeport Hospital
Bridgeport,2012,Major Employer 3,St Vincent's Medical Ctr
Bridgeport,2012,Major Employer 4,People's United Financial Inc
Bridgeport,2012,Major Employer 5,Mental Health Dept
Bridgeport,2012,Major Employer 6,Bridgewater Vollage Store aka 133 Bridgewater Assoc
Bridgeport,2012,Major Employer 7,Bridgewater Convenience Store
Bridgeport,2012,Major Employer 8,Greylege Farm
Bridgeport,2012,Major Employer 9,Trowbridge Farm
Bridgeport,2012,Major Employer 10,Shallow Brook Farm
Bridgewater,2012,Major Employer 1,Bridgewater Fire Dept
Bridgewater,2012,Major Employer 2,Tlg Services Inc
Bridgewater,2012,Major Employer 3,Bridgewater Village Store
Bridgewater,2012,Major Employer 4,Burnham Elementary School
Bridgewater,2012,Major Employer 5,Town of Bridgewater
Bridgewater,2012,Major Employer 6,Parker Medical
Bridgewater,2012,Major Employer 7,
Bridgewater,2012,Major Employer 8,
Bridgewater,2012,Major Employer 9,
Bridgewater,2012,Major Employer 10,
Bristol,2012,Major Employer 1,ESPN
Bristol,2012,Major Employer 2,City of Bristol
Bristol,2012,Major Employer 3,Bristol Hospital
Bristol,2012,Major Employer 4,
Bristol,2012,Major Employer 5,
Bristol,2012,Major Employer 6,
Bristol,2012,Major Employer 7,
Bristol,2012,Major Employer 8,
Bristol,2012,Major Employer 9,
Bristol,2012,Major Employer 10,
Brookfield,2012,Major Employer 1,COSTCO
Brookfield,2012,Major Employer 2,Shop Rite
Brookfield,2012,Major Employer 3,United Parcel Service
Brookfield,2012,Major Employer 4,Photronic Labs
Brookfield,2012,Major Employer 5,Kohl's
Brookfield,2012,Major Employer 6,Wentworth Labs
Brookfield,2012,Major Employer 7,
Brookfield,2012,Major Employer 8,
Brookfield,2012,Major Employer 9,
Brookfield,2012,Major Employer 10,
Brooklyn,2012,Major Employer 1,Brooklyn Correctional Center
Brooklyn,2012,Major Employer 2,Pierce Memorial Baptist Home
Brooklyn,2012,Major Employer 3,Brooklyn School
Brooklyn,2012,Major Employer 4,The Learning Clinic
Brooklyn,2012,Major Employer 5,Saveway Petroleum
Brooklyn,2012,Major Employer 6,Jolley Concrete
Brooklyn,2012,Major Employer 7,McDonalds
Brooklyn,2012,Major Employer 8,Dunkin Donuts
Brooklyn,2012,Major Employer 9,
Brooklyn,2012,Major Employer 10,
Burlington,2012,Major Employer 1,Regional School District #10
Burlington,2012,Major Employer 2,Town of Burlington
Burlington,2012,Major Employer 3,The Crescent Manufacturing Co.
Burlington,2012,Major Employer 4,Energy Savings Product (ESP)
Burlington,2012,Major Employer 5,US Post Office
Burlington,2012,Major Employer 6,Cassille's Restaurant
Burlington,2012,Major Employer 7,State of Connecticut - Fish Hatchery/Session Woods
Burlington,2012,Major Employer 8,Hank's Garage/Sikorsky Bus Co.
Burlington,2012,Major Employer 9,Joni's Day Care
Burlington,2012,Major Employer 10,Marinelli's Supper Club
Canaan,2012,Major Employer 1,Hamilton Book
Canaan,2012,Major Employer 2,CT Light & Power
Canaan,2012,Major Employer 3,Regional School Districe #1
Canaan,2012,Major Employer 4,Lee H. Kellogg School
Canaan,2012,Major Employer 5,
Canaan,2012,Major Employer 6,
Canaan,2012,Major Employer 7,
Canaan,2012,Major Employer 8,
Canaan,2012,Major Employer 9,
Canaan,2012,Major Employer 10,
Canterbury,2012,Major Employer 1,Town of Canterbury-Inc. Board of Ed.
Canterbury,2012,Major Employer 2,Better Val-U Supermarkets Inc
Canterbury,2012,Major Employer 3,Canterbury Waste Management
Canterbury,2012,Major Employer 4,Eds Garage Incorporated
